Fic number,Character name,Times mentioned
0,"?_’‘Exactly,youidiot.’‘Raphael,Iswear-’‘Shutit!Thebothofyou.We’realreadydrawingattention.’‘Wellyouweretheoneshoutingearlier.’‘Yeah,togetcaughtontheArchivefileswhileIwasbeingsurprisedtohaverunintoyou._By.Accident_.’‘Oh,_right_.’‘IhatetoagreewithRaphaelbutyouareanidiotattimes.’Gabrielopenedhismouthtoprotestbutthensawherexpressionandcloseditagain.‘Hatetoagree,_hah_,asif.I’malwaysrightaboutthings,’",1
0,smirked.Thisearnedhimashoetotheshin.Even,1
0,wincedthinkingabouttheneedle-thinheelon,1
0,sstilettos.‘Iamdonebabysittingyoutwo.,1
0,"andmaybelet’scomeupwithaplan,ratherthanpettyinsults,hmm?’‘Idon’tseehowmuchhelpIcanbe.I’vebeenorderedtostaydownhere,",1
0,"sighedandpinchedthebridgeofhisnose.‘Wonderedaboutit,actually.Well,here’smyexplanation.’‘Yeah,shedoesn’twantyouinterfering.’‘Notthatyoucoulddomuch,anyway.Youlackthebraincapacity.’AwarninglookwasthrownatRaphaelthatthreatenedwithanotherheelkickunderthetable.‘Fine,alright.Wedon’tknowwhattodoeither.We’vetriedspeakingtotheothers–onthehush-hush,ofcoursebutweseemtogetnorealresults.AllofthepapersaresignedoffbytheMetatronsonoonewantstobudge.Well,thereweresomewhodid,butlookwhathappenedtothem.’‘ThePrincipalitieswereourfirstthought,obviously–butCervielisscaredshitless.Toldusthathehasnointentionofgettingcourt-martialed,’",1
0,sighed.‘TheSeraphswerewilling–theyalwayshated,1
0,"forsomereason,butthey’retheoneswhohavethemosttofear.She’sdeadsetagainstthem.Andanyway,they’remadeforsingingpraisesandcreatinggalaxies,they’renotmadeforwar.’‘War?Isitthatserious?’‘IfMichaelhasitherway,thenIguessnot.Subservienceandkeepingyourheaddown,morelikely,’",1
0,"managedthroughgrittedteeth.‘Itcan’tbethatbad,canit?’‘ThePowersareout,theDominionsareout,theVirtues-’‘TheVirtuesarecunts.’‘Precisely.Thereforeout.’‘WeonlyhavePravuilonoursidefornow.There’sjustthreeofus.Fourifyoucaretojoinus?’theArchangelsaidandshesoundedreallyhopeful.‘Whatabouttheothers?’‘Ariel’sinKenyaatthemoment.We’replanningonspeakingwithhernext.ButIdon’tknowhowmuchhelpshe’llbe.Shehasn’tbeenbackinHeavenforawhilenowandlasttimeshecheckedinshesaidshe’sjustgoingtofocusontheanimalsforabit,screwHeaven,thankyouverymuch,’",1
0,"casuallysaidasheinspectedhisfingernails.‘Well,notinthosewords,youknowAri.Shecouldn’tswearforthelifeofher.",1
0,tevenhurtafly.’‘Azraelisflyingabitundertheradaratthemomentand,1
0,"willsurelymilitateforpeace.’‘Whichissurelythebestthingtodo,’",1
